trash.fill
pencil.circle.fill
trash.slash.fill
doc.fill
doc.richtext.fill
calendar.circle.fill
books.vertical.fill
ticket.fill
person.2.fill
eye.fill
message.fill
line.3.crossed.swirl.circle.fill
envelope.badge.fill
creditcard.fill
giftcard.fill
paintbrush.pointed.fill
paintbrush.fill
bandage.fill
wrench.and.screwdriver.fill
house.fill
tv.fill
cross.fill
comb.fill
lightbulb.fill
hifispeaker.fill
candybarphone
gamecontroller.fill
externaldrive.connected.to.line.below.fill
bus
car.fill
airplane
figure.wave
bicycle
dollarsign.circle
heart.fill
